靡ㄩ絏,虏嘿,るら,Μ絃基(じ)
COID,Name,MDATE,CLOSE
0050   ,じ芖50   ,20190102,    14.5700
1301   ,鹅         ,20190102,    73.4683
6505   ,鹅て       ,20190102,    85.5000
1326   ,て         ,20190102,    76.6543
1303   ,玭ㄈ         ,20190102,    53.8769
1216   ,参         ,20190102,    52.5550
2912   ,参禬       ,20190102,   239.4114
9907   ,参龟       ,20190102,     9.0523
2855   ,参靡       ,20190102,     6.7474
1232   ,参痲       ,20190102,    74.0483
2317   ,翬         ,20190102,    52.1782
2354   ,翬非         ,20190102,    47.6870
3413   ,ㄊ供         ,20190102,    96.8550
6451   ,癟-KY      ,20190102,    69.4146
2330   ,縩筿       ,20190102,   184.8359
3443   ,承種         ,20190102,   183.3275
5347   ,         ,20190102,    45.3479
3374   ,弘         ,20190102,    30.8021
1560   ,い         ,20190102,    46.5835
2303   ,羛筿         ,20190102,     7.6529
2329   ,地         ,20190102,    10.2865
2379   ,风琑         ,20190102,   100.4180
2363   ,参         ,20190102,     8.5966
2449   ,ㄊじ筿     ,20190102,    16.5050
2454   ,羛祇       ,20190102,   149.2745
2451   ,承ǎ         ,20190102,    42.8912
0051   ,じい100  ,20190102,    22.2089
0052   ,碔üм     ,20190102,     5.3164
0053   ,じ筿     ,20190102,    25.3481
0050   ,じ芖50   ,20190103,    14.4323
1301   ,鹅         ,20190103,    72.2639
6505   ,鹅て       ,20190103,    86.3301
1326   ,て         ,20190103,    76.8850
1303   ,玭ㄈ         ,20190103,    54.0983
1216   ,参         ,20190103,    51.9394
2912   ,参禬       ,20190103,   238.6146
9907   ,参龟       ,20190103,     9.0897
2855   ,参靡       ,20190103,     6.8328
1232   ,参痲       ,20190103,    73.7473
2317   ,翬         ,20190103,    51.2850
2354   ,翬非         ,20190103,    47.6077
3413   ,ㄊ供         ,20190103,    95.0206
6451   ,癟-KY      ,20190103,    69.7595
2330   ,縩筿       ,20190103,   181.4676
3443   ,承種         ,20190103,   165.3100
5347   ,         ,20190103,    42.9006
3374   ,弘         ,20190103,    29.9807
1560   ,い         ,20190103,    46.2628
2303   ,羛筿         ,20190103,     7.5150
2329   ,地         ,20190103,    10.2438
2379   ,风琑         ,20190103,   101.8787
2363   ,参         ,20190103,     8.3692
2449   ,ㄊじ筿     ,20190103,    16.0396
2454   ,羛祇       ,20190103,   151.3055
2451   ,承ǎ         ,20190103,    43.0196
0051   ,じい100  ,20190103,    22.1378
0052   ,碔üм     ,20190103,     5.2270
0053   ,じ筿     ,20190103,    24.9330
0050   ,じ芖50   ,20190104,    14.2060
1301   ,鹅         ,20190104,    71.7370
6505   ,鹅て       ,20190104,    86.7451
1326   ,て         ,20190104,    76.7312
